,category,prod_id,rating,polarity,review,review_len,review_id
575,All_Beauty,B00NV6VGY4,1.0,negative,really thought these were coming as a set was really disappointed to receive 1 single head band,17,19
576,All_Beauty,B01CT1W6U4,2.0,negative,the maroonis nice and the blue is not bad but i will not use the other two now that i know that the magnet does not work i was really sad to figure out it did not work but it still was not a bad price for the maroon and blue and they look okay without the magnet feature,56,0
577,All_Beauty,B01CT1W6U4,1.0,negative,i love theand everything but when i opened it half of it was spilled everywhere and i could only use the red and silver extremely disappointed i love the other colors and it wears nicely but i just really do not like the fact half of my order was unusable,51,1
578,All_Beauty,B01CT1W6U4,4.0,positive,i love the colors but the magnet did not work at all good thing i had ordered another magnet to go with these i tried all 4 magnets as one came with each polish but none of them worked,39,2
579,All_Beauty,B01CT1W6U4,2.0,negative,problem was not with the polish itself it was with the fact that the magnetic effects were not working at all i tried everything so i am disappointed,27,3
580,All_Beauty,B01CT1W6U4,4.0,positive,i recieved the package and they looked fine i did not open the individualboxes when i recieved it since it was a gift for my niece when she opened them the next day one of the bolttle was broken from the top andwas leaking out and starting to dry already the others worked great i just wish that the other one was not broken,67,4
581,All_Beauty,B01CT1W6U4,5.0,positive,i do not recommend it it is clumpy and hard to put on cleanly,12,5
582,All_Beauty,B01CT1W6U4,5.0,positive,love this magnetic polish i have worn the silver / gray magnetic for just a day and already receiving complements on the shimmer,21,6
583,All_Beauty,B01CT1W6U4,1.0,negative,this product is terrible i tried two different colors and not only does the magnet not work the polish is clumpy like it has sand in it or something so it can not be used as regular polish either i tested the gold and the blue very very disappointed i would have asked for a refund but i bought them awhile ago and am just now trying them,67,7
584,All_Beauty,B01CT1W6U4,2.0,negative,the brushes are sruck together and takes double the time to dry,12,8
585,All_Beauty,B01CT1W6U4,1.0,negative,i got a 3d magnet gel polish i tried them on my nails i work at nails salon and i know how to use that the problem is all of the gel polish got really bad quality seem they had sands inside and can not work at all especially the silver and gold one i will never buy it anymore bad and bad,63,9
586,All_Beauty,B01CT1W6U4,4.0,positive,looks great and simple to apply just hold the magnet for longer then the 10 seconds it recommends roughly 30 seconds and it works nice,25,10
587,All_Beauty,B01CT1W6U4,1.0,negative,i was so excited for these polishes to arrive today unfortunately two of the four colors are unusable they were mostly dried into a big clump i even tried using gel thinner the other two colors worked great and the magnet worked perfectly on them,45,11
588,All_Beauty,B01CT1W6U4,5.0,positive,i love this polish it is beautiful and exactly as described the shipping as fast and the seller is super nice,20,12
589,All_Beauty,B01CT1W6U4,5.0,positive,beautiful colors do not think the magnetic thing woks well but the colors make up for it,15,13
590,All_Beauty,B01CT1W6U4,4.0,positive,beautiful colors the cat eye does not seem to be as prominent as the picture on the box but it may be just me I shall practice more update after a while the polish and brush went bad on 2 out of 4 i kept them in the original box all the time so it was not light that was cutting them,59,14
591,All_Beauty,B01CT1W6U4,2.0,negative,i purchased came quickly two of the products look as if they had been previously opened the red lid was gooped up and the gold was dried out i give 2 stars one for each good product the blue and silver,40,15
592,All_Beauty,B01CT1W6U4,2.0,negative,i bought these solely for the star shaped magnet i found it to be very weak and it barely shows up on the polish I am going to try to strengthen it by rubbing a stronger magnet on it to see if i can get the desired results still holding out hope on that i can not give this any more stars because of how crappy the gel polish quality is it is lose runny and it pulls away from the nail horribly by the time i was done applying it the nails that had been sitting had to be retouched before curing that i eventually had to do the same hand twice before curing and i still had bare spots the formula is subpar the only way to get around this is to cure each finger separately which would end up being more time consuming i do not recommend this for people who want to have a salon quality manicure so on top of the bare spots i can not even see the start mark i can not wait to scrape this off my nails,180,16
593,All_Beauty,B01CT1W6U4,5.0,positive,initially i ordered this product and received a duplicate colour ie blue red and two silvers instead of gold and silver however customer service was very helpful and corrected the issue so that in the end i received all four colours i have used the blue red and silver and the magnetic pattern so far shows up best on the red and blue but the silver is still a nice dark slate colour i have not tried the gold yet but generally i like the sensationail brand a lot,88,17
594,All_Beauty,B01CT1W6U4,5.0,positive,this stuff is awesome the colors are very pretty and the magnetic stuff works great even comes with the little magnet wand,22,18
595,All_Beauty,B01CT1W6U4,1.0,negative,i can not figure out how to get the magnets to work right they seem to barely work which just makes the polish look sloppy,24,19
596,All_Beauty,B01CT1W6U4,4.0,positive,the colors are pretty was not sure i would like the dark colors but after trying the blue i discovered they are pretty have to master the magnet although did not get it centered the first time,37,20
597,All_Beauty,B01CT1W6U4,4.0,positive,it took me a while to get the hang of it but this polish is quite awesome i got so many compliments on the starburst people were in awe and wondered how i did it,35,21
598,All_Beauty,B01CT1W6U4,1.0,negative,these were awful i love sensational products and normally they will last a week these only lasted a day or two before peeling off and the design looks nothing like what has on the package,34,22
599,All_Beauty,B01CT1W6U4,5.0,positive,birthday present for daughter she loved the set,8,23
600,All_Beauty,B01CT1W6U4,2.0,negative,there were horrible we have used other polishes by this brand and loved them but these magnetic polishes are dried out and clumpy seller would not comment back on returns such a waste as I have seen these in videos and they look like they would work great,45,24
601,All_Beauty,B01CT1W6U4,1.0,negative,i opened the package of the blue which was completely sealed took out the brush and it was all wonky and clotted i cleaned off the mess and it was bubbly and lumpy and the brush resembled toothbrush bristles it was impossible to get a nice semi-even coat of polish with this brush then i tried the magnet thinking well at least i get a nice magnet from each of these nope did not work the gold also was clotted and wonky but not as much and the brush stiff like a toothbrush but the magnet worked on that one still not a nice bold star pattern like on the box but more like thin straight lines i do not want to open the other 2 right now because these are very smelly and I am sensitive to that i purchased these a while ago so it is past my return window or these would definitely be going back the colors were great although,160,25
602,All_Beauty,B01CT1W6U4,1.0,negative,do not buy i use this brand of nail polish all the time and these are very inferior compared to the norm they were clumpy goopy and completely unusable when i went to request a return it said these items not eligible for a return either old or used but either way do not waste your money,58,26
603,All_Beauty,B01CT1W6U4,2.0,negative,terrible one bottle came with the brush bent completely up unusable another bottle came with hardly any polish in it at all my daughter was very disappointed the other 2 bottles were fine and the magnet does work,38,27
604,All_Beauty,B01CT1W6U4,5.0,positive,this was part of a gift and she loved it,10,28
605,All_Beauty,B01CT1W6U4,1.0,negative,horrible this stuff was crap the magnetic properties were a joke if i could rate it a 0 i would 2 out of the 4 bottles were a dried out mess of goo beauty brags said that they would send me 2 new bottles or reimburse i got nothing from them do not purchase this junk,53,29
630,Pet_Supplies,B0009YSCMU,1.0,negative,what a piece of crap this is i have 2 6 mon old kittens one sniffed it and walk away and has never returned to it the other nicky tried to scracth it and it just swung around and smacked her in the face to wit she bit it and walked away made very poorly and cheapjust a piece of crappy rug glued to a piece of cardboard i should have gone where i always do [ ] or even walmart,78,0
631,Pet_Supplies,B0009YSCMU,2.0,negative,the carpet on this is really short and the strip overall is too narrow i tried hanging it on several doorknobs and even anchoring it on the floor to no avail,31,1
632,Pet_Supplies,B0009YSCMU,4.0,positive,it is somewhat pricey considering shipment anyway my can does not use it as intended she likes it when flat on the floor,23,2
633,Pet_Supplies,B0009YSCMU,1.0,negative,i tried it in several locations on the floor on the door and in their faces i rubbed it with catnip and tried to charm them with treats and they still looked at me like i was smoking crack what exactly do want us to do with that thing mom my girls will play with pretty much anything except this thing i went over to petco about week later and bought a super-cheapie carpet-covered 2 stand clawing post with a feather toy and the girls said now that is what we are talkin bout mom in my opinion do not waste your money,100,3
634,Pet_Supplies,B0009YSCMU,5.0,positive,my cat loves her scratching pad and it was the best 5 I have ever invested chooch is not much of a scratcher she does like the side of my bed and the antique chenille sofa in my living room but she has a stretch scratcher and this scratching pad is right up her ally she would not touch it when it was hanging from a doorknob but she has very happy with it on the floor after she scratches on it she loves to sit on it as if to keep anybody else in the house from claiming it,97,4
635,Pet_Supplies,B0009YSCMU,5.0,positive,are you kidding me cats will definitely use this thing to scratch their claws on so get one and save your sofa if only for a little while,27,5
636,Pet_Supplies,B0009YSCMU,5.0,positive,cats pulled the looped rope off pretty fast ended up mounting it to door way they always clawed on still claw at it but not damaging my door frame now,30,6
637,Pet_Supplies,B0009YSCMU,4.0,positive,both of my cats love this scratcher i believe they are both drawn to the scent that is infused in the scratcher i hung it on my bed post where they both like to scratch now they scratch the scratcher instead of my bed great product very inexpensive as well,50,7
638,Pet_Supplies,B0009YSCMU,1.0,negative,for what ever reason my cats refuse to use this a carpet sample on a stiff plastic backing is all this is,22,8
639,Pet_Supplies,B0009YSCMU,1.0,negative,i knew it would be small and cheap but it is literally something you can buy at my local dollar store it is a bit thicker than cardstock with felting on it it hangs on the door knob but because it is so light the cat can not gain purchase on it to scratch it it is essentially like my cat trying to scratch a hotel do not disturb sign total waste of 750 pay double and buy something substantial this is total cheap crap,84,9
640,Pet_Supplies,B0009YSCMU,2.0,negative,thisis exactly as described and fits well over a door handle however my cat shows zero interest in it even when i put it on the floor for easy access,33,10
641,Pet_Supplies,B0009YSCMU,1.0,negative,disappointing cats are not interested at all sort of flimsy,10,11
642,Pet_Supplies,B0009YSCMU,5.0,positive,greatjust can not get the cat to think so,10,12
643,Pet_Supplies,B0009YSCMU,1.0,negative,i purchased 5 of these and hung them around on the doors where my cats tended to scratch my cats push them aside and scratch on the door anyway,29,13
644,Pet_Supplies,B0009YSCMU,4.0,positive,smaller then i expected but the cats are happy so far i will update as to how long it actually lasts in the future,24,14
645,Pet_Supplies,B0009YSCMU,2.0,negative,my cat definitely do not like this one they prefer the ones where i can add the catnip this one is cheap but the cats will ignore it i use it on the floor in front of the litter box now,40,15
646,Pet_Supplies,B0009YSCMU,1.0,negative,not really satisfied my cat does not like it does not seem too much like a scratch pad not long enough when hanging on door but fair price thank you,28,16
647,Pet_Supplies,B0009YSCMU,5.0,positive,great product cats seem to prefer it on the floor rather than hanging from the door although,17,17
648,Pet_Supplies,B0009YSCMU,5.0,positive,my cats seriously are obsessed with this they always dig i have two unclawed cats at it and my third with claws with flip it all over and roll on it and claw into it too I am thinking about buying another one as they really just love it that much,50,18
649,Pet_Supplies,B0009YSCMU,2.0,negative,i hung it up and my cats ignored it i put it on the floor and they liked it,19,19
650,Pet_Supplies,B0009YSCMU,2.0,negative,my cats do not even use this i sprayed some catnip mist to try to get them interested and they just go lick it and walk away maybe it is just my cats i do not know but i feel i wasted my money,42,20
651,Pet_Supplies,B0009YSCMU,4.0,positive,i placed this directly next to the couch that the cats like to scratch most of the time they are willing to attack this instead it is not intensive scratch therapy but it is only 2 and not nearly as messy as cardboard scratch pads in the same general price range i have one on a doorknob and another one just lying on the floor two of the cats prefer the one on the floor the other one enjoys reaching up to attack the one on the door it has been six months now and the scratch pads are both still in perfect condition despite being used regularly you would never know that they are used this is the perfectif 1 your cats scratch your couch and 2 you have 33 in your cart and need a 2for free shipping,142,21
652,Pet_Supplies,B0009YSCMU,5.0,positive,my cats love this they finally stopped scratching my wall,10,22
653,Pet_Supplies,B0009YSCMU,1.0,negative,wanted to break the habit of cats scratching at the door frame i hung these off of a couple of doorknobs lo and behold my cats ignore these tried rubbing catnip on the pads no luck good thing they are cheap,40,23
654,Pet_Supplies,B0009YSCMU,4.0,positive,brought for my boyfriend cat have not gotten a chance to hang it looks like a good buy I shall let you know when they visit,24,24
655,Pet_Supplies,B0009YSCMU,4.0,positive,this is very thin and my cat hardly pays any attention to it but it does look nice hanging on my door I am going to spray catnip on it hopefully she will use it more great for the price especially as an add on,43,25
656,Pet_Supplies,B0009YSCMU,5.0,positive,protect your doors our cat was shredding the weatherstripping on the front door in her attempt to get our notice to let her in now she scratches on this pad and it makes enough noise that we know she is out there and can let her in it has prevented further damage i highly recommend it as it is flat and we can swing it to the side to close the door solved our problem,75,26
657,Pet_Supplies,B0009YSCMU,2.0,negative,huh the cats completely ignore it maybe they should make scratching pads out of nice leather as that seems to be much preferred in my house to these cheapo pads oh well at least those little beasties have not discovered the woodwork and i wanted a new sofa anyway,48,27
658,Pet_Supplies,B0009YSCMU,2.0,negative,cats have not used this even although i have multiple hanging at different locations and different heights throughout my house they would much rather use other scratchers i have,26,28
659,Pet_Supplies,B0009YSCMU,2.0,negative,cats had no interest in it whatsoever i even tried spraying it with catnip spray very cheaply made but that is why the price was so cheap i can not hold that against them it may work for someone else but our cats were way more interested in the actual carpet and never looked twice at this scratch pad back to the drawing board,64,29
660,Pet_Supplies,B0009YSCMU,1.0,negative,this was the most stupid cat scatcher made,8,30
661,Pet_Supplies,B0009YSCMU,2.0,negative,i should have known that hanging something lightweight would because it to swing around on the door handle when the cat tries to use it so i attached it to the carpet using velco she likes it and uses it now,41,31
662,Pet_Supplies,B0009YSCMU,4.0,positive,for 250 what do you expect it is not the best scratch pad i ever saw but it can go anywhere hang it lay it down attach it to another surface and it does not make a mess like cardboard scratch pads it is obviously made from the scraps left over from indoor-outdoor carpeting but like i said it is well worth the money paid the only thing is some kitties might not prefer the carpet suface but that my friends is something you have to find out yourself overall aok,85,32
663,Pet_Supplies,B0009YSCMU,4.0,positive,my cats ignored it hanging on the door and i think it was too short for them to get too once i put it on the floor they use it now,31,33
664,Pet_Supplies,B0009YSCMU,2.0,negative,our cat quail was not interested in this i should not have bought it when i could have just attached a cord to a free carpet sample i do not hate it maybe other cats would like this style and it is very inexpensive i just do not like it because it did not work out for us,54,34
665,Pet_Supplies,B0009YSCMU,5.0,positive,my cats are happy to scratching on door knob i mean hanging on the door knob lols,17,35
666,Pet_Supplies,B0009YSCMU,4.0,positive,there has not much to it but it works fine,9,36
667,Pet_Supplies,B0009YSCMU,2.0,negative,this may be the only scratcher my cats have never touched i do not know what has wrong I have got another door-hanger scratch pad and they love that one it might be my cats although and not the scratch pad,38,37
668,Pet_Supplies,B0009YSCMU,5.0,positive,nice scratcher for kitties who enjoy vertical surfaces for claw maintenance our new addition finally decided he liked the horizontal cardboard better which rendered this one superfluous wow do you know how long I have been waiting to call something superfluous,40,38
669,Pet_Supplies,B0009YSCMU,5.0,positive,i used this on a door to the third floor in the home that i never leave open but the cats will let me know also when they want to go up there by scratching and i had taught them to touch the door knob when they want up there sounds crazy,52,39
670,Pet_Supplies,B0009YSCMU,1.0,negative,my cat went to right to the scratch pad just as soon as i hung it up she tried to use it an her paw nails got stuck in the carpet material she has tried it a few times and can not use it i turned it over to the back side and she will kind of use that overall pretty disappointed,61,40
671,Pet_Supplies,B0009YSCMU,2.0,negative,pros inexpensive unobtrusive cons basically carpet on cardboard flimsy cat does not like it if you cat is obsessed with carpet then i guess this product is for you if you cat is into scratching the furniture thiswill not distract him for that i sprayed tons of catnip on it and my cat looks at me like i am nuts and on drugs spend more money and get a better cat scratch pad,75,41
672,Pet_Supplies,B0009YSCMU,1.0,negative,well my cat loves to scratch things but this was definitely a waste of money he has never touched it sucks,20,42
673,Pet_Supplies,B0009YSCMU,1.0,negative,my two cats do not uses it good price but it did not work oft my kitties maybe it will work for yours i got 2and that was a mistake,29,43
674,Pet_Supplies,B0009YSCMU,2.0,negative,our kitten played with it a bit but only a little bit it is too flexible to be used as a scratcher,22,44
675,Pet_Supplies,B0009YSCMU,1.0,negative,does not attract cats at all thankfully it was inexpensive because our cats have not gone anywhere near this thing since we have bought it,24,45
676,Pet_Supplies,B0009YSCMU,2.0,negative,i have 2 hanging sisal cat scratchers and a cat tree with sisal legs that the cats use constantly i have never seen my cats touch the omega paw scratcher and the scratchers still look new,36,46
677,Pet_Supplies,B0009YSCMU,5.0,positive,since i bought this product my cat no longer claws my furniture if you have a cat or cats i highly recommend this product,24,47
678,Pet_Supplies,B000F71DF4,1.0,negative,this backseat barrier kept my dogs from coming up front for about one hour until they figured out that they could just easily jump right over the top of it this might work for a very little dog or a car with an extremely low ceiling or a dog that does not have much desire to make it is way into the front seat but I am not sure why you would need this in the first place if your dog was not constantly trying to jump into the front while you are driving i thought this was going to be the answer to all of my dog transporting problems but it is just a waste of money,114,0
679,Pet_Supplies,B000F71DF4,1.0,negative,while the main portion of the barrier is well made it is too short and flimsy to keep my border collies and golden retreiver from jumping on top and over it the upper netting will not stay in an upright position partially because the two stabilizer bars holding it up broke the stitching holding them in place so they are now useless get the outward hound version for less than ten bucks and save some money,74,1
680,Pet_Supplies,B000F71DF4,4.0,positive,we bought this product because our dog kept jumping into the front seat the product is a little flimsy and she can still jump over it but it is helping us train her to stay in the back it also keeps her safely contained when we have to slam on the breaks overall it is a good product but possibly a little over priced,64,2
681,Pet_Supplies,B000F71DF4,4.0,positive,this is a durable product that even works for big doges it is somewhat complicated to install and the top round wood rod keeps coming out so i removed it the barrier still works fine 100 effective but a little difficult,42,3
682,Pet_Supplies,B000F71DF4,5.0,positive,worked great for my 2014 toyota corolla i had to be creative on how i hooked up the bottom strap but it worked great kept the dogs in the back seat safe and sound,34,4
683,Pet_Supplies,B000F71DF4,5.0,positive,i have purchased kurgo products before the quality is nice it keeps the dogs in the back seat but they can still see what is going on in the front seat,31,5
684,Pet_Supplies,B000F71DF4,2.0,negative,this kurgo does not work with all vehicles,8,6
685,Pet_Supplies,B000F71DF4,2.0,negative,my two goldens jumped this in a heartbeat back to drawing board this actually hindered getting them back into the back seat as they did not have as much enthusiasm going back to their seat,34,7
686,Pet_Supplies,B000F71DF4,2.0,negative,it was okay did not love how it fit in my car could not seem to get it secure enough now matter how much i tightened the straps,26,8
687,Pet_Supplies,B000F71DF4,2.0,negative,this is very difficult to get attached to the seats it is flimsy so the dogs just went around it with some serious rigging you could probably get this to work or if your dogs are not very adament about sitting on your lap essentially you get what you pay for,49,9
688,Pet_Supplies,B000F71DF4,5.0,positive,a little complicated to get set up but i installed along with the seat cover and dog bridge works great to keep dogs in the back seat which is critical since we foster rescues,35,10
689,Pet_Supplies,B000F71DF4,1.0,negative,worst thing every the dogs can just pull it down and run over it,14,11
690,Pet_Supplies,B000F71DF4,2.0,negative,52 lb springer spaniel plowed over it guess he really wants to ride shotgun he also did not like looking thru the mesh one we tightened his back seat harness and he could see out the front window clearly he was a happier dog concept is terrific but not for us,51,12
691,Pet_Supplies,B000F71DF4,4.0,positive,my dog had already put a hole in the mesh part of it ther than that it is a great investment if it were taller it would be better,29,13
692,Pet_Supplies,B000F71DF4,2.0,negative,lasted about 20 minutes then my dog chewed through the side straps and was back in the front seat,19,14
693,Pet_Supplies,B000F71DF4,5.0,positive,keeps my dogs in the back where they belong,9,15
694,Pet_Supplies,B000F71DF4,5.0,positive,this is fantastic being that i am 71 years old it took a little while to put it on but i am so happy with it now my dogs will be safe and i can quit worrying about them when i take them places well worth the money thank you,50,16
695,Pet_Supplies,B000F71DF4,4.0,positive,excellent stops our dogs from coming to visit us by standing on the armrest yet does not stop them seeing out the front window space to keep a water bowl and ball without them rolling around in the back,38,17
696,Pet_Supplies,B000F71DF4,2.0,negative,my very athletic dog has managed to get around the barrier so not all that useful,16,18
697,Pet_Supplies,B000F71DF4,1.0,negative,for small or medium size vehicles bought for our 2016 ram mega cab and does not fit received product quickly but did not try to install until planning our next trip with our pets needless to say it was a few days after the return period expired reading the reviews and description sounded like it would fit wrong also noted that once installed and tight it prohibits the passenger from putting the seat back in case they want to sleep or rest would not recommend for large trucks if installed elastic bungee chords might help lowering the backrest,96,19
698,Pet_Supplies,B000F71DF4,5.0,positive,unfortunately this did not work with our very spoiled labs,10,20
699,Pet_Supplies,B000F71DF4,4.0,positive,not a perfect match for my car volvo but has enough straps and connectors that i was able to make it work anyway seems sturdy definitely deters my dog from clambering up front while I am driving,36,21
700,Pet_Supplies,B000F71DF4,2.0,negative,strap tore pretty quickly i am going to look into alternative options,12,22
701,Pet_Supplies,B000F71DF4,5.0,positive,this is the second type of backseat barrier that i have purchased and the only that i would recommend the construction is very sturdy particularly if you insert the optional metal bar and should hold back most dogs,38,23
702,Pet_Supplies,B000F71DF4,2.0,negative,quality made product my dog climbed over it in less than 5min,12,24
703,Pet_Supplies,B000F71DF4,1.0,negative,the rod that goes across the top for stability is too short could not get it together and,17,25
704,Pet_Supplies,B000F71DF4,5.0,positive,easy to install in my silverado keeps my two english mastiffs from crawling into the front,16,26
705,Pet_Supplies,B000F71DF4,2.0,negative,put this in my suburu outback it did fit nice but it did not hold up at all to the dogs hanging on it easily jumped over and they chewed thru the bottom connection cords it was money thrown out the window took about 10 minutes for my 25 lb cocker spaniel to destroy it,55,27
706,Pet_Supplies,B000F71DF4,5.0,positive,not for everyone but it works for me i have 10 dogs most are trained to stay in the back two will get in the back and immediately run through to the front this prevents them from doing that could they jump over could they destroy it yes to both but my dogs just are not motivated to do that this is doing exactly what i needed it to do it all depends onl your dogs,75,28
707,Pet_Supplies,B000F71DF4,2.0,negative,this was made nicely but it did not fit my car very well also i wasted a lot of time because there had been a design change that was not reflected in the instructions in the box or on the web,41,29
708,Pet_Supplies,B000F71DF4,5.0,positive,this was a christmas gift to my husband and he is very pleased with it,15,30
709,Pet_Supplies,B000F71DF4,4.0,positive,a big help keeping our labradoodle out of the front seat on long trips,14,31
710,Pet_Supplies,B000F71DF4,4.0,positive,worked in our 2014 toyota highlander to keep our boxer in the back and separate from the kids she only tried to get over once when we stopped but was not able to get over all the way great price and good value for what we needed it for,48,32
711,Pet_Supplies,B000F71DF4,5.0,positive,difficult to install not all of the items described in the instructions are actually on the unit that said once it is installed it is the only device i have found that keeps my 80 lb dog off my lap while i am driving,44,33
712,Pet_Supplies,B000F71DF4,5.0,positive,easy to install after a while we did not need it anymore,11,34
713,Pet_Supplies,B000F71DF4,4.0,positive,yes my dog can jump over the top no i do not let him but for the price this can save a never ending car struggle if you are working to train you dog to stay in the back seat,40,35
714,Pet_Supplies,B000F71DF4,5.0,positive,excellent mother is so glad keeping her dog in the backseat,11,36
715,Pet_Supplies,B000F71DF4,2.0,negative,the only way to secure it up higher in an suv or any car is to remove the headrest to get the barrier to secure the straps do not have a buckle to remove and snap in to head rest my head rests are not designed to be removed therefore the barrier can not sit high up my dogs are still jumping over the barrier and sitting up front very disapointed,69,37
716,Pet_Supplies,B000F71DF4,1.0,negative,even tho it says it is for our car the dogs who are small medium size goes right over the top of it does not work at all,24,38
717,Pet_Supplies,B000F71DF4,1.0,negative,do not waste your money it is flimsy and loose not to mention bulky all the straps and buckles are a pain as well,22,39
718,Pet_Supplies,B000F71DF4,5.0,positive,i always have my dogs with me in the car and am very pleased with this barrier it is super easy to install unlike other barriers i have used in the past and because of it is fabric design it is silent I have had the more elaborate barrier that had bars but that one tended to always come loose and then would rub on the seat or jiggle noisily none of my dogs have jumped over the barrier and they seem content with the see-through design at the top so they can look out the front window i do have a golden retriever german shepherd and a springer spaniel the barrier may not deter a dog that is determined to ride shotgun however we also foster dogs and i bring the fosters along to the dog park the two foster dogs that we have had since i purchased the kurgo did not attempt to jump over it either,157,40
